102.98399999999999	1936
106.06100000000001	1970
109.136	1944
112.209	1964
115.28100000000001	1926
118.351	1928
121.42	1930
124.48699999999999	1944
127.55200000000001	1888
130.61600000000001	1900
133.679	1904
136.74000000000001	1894
139.79900000000001	1844
142.857	1882
145.91399999999999	1892
148.96899999999999	1884
152.023	1862
155.07400000000001	1824
158.124	1790
161.173	1836
164.22	1850
167.26599999999999	1890
170.31	1884
173.35300000000001	1904
176.39400000000001	1992
179.434	2022
182.47200000000001	1974
185.50899999999999	1930
188.54400000000001	1808
191.577	1812
194.61000000000001	1796
197.64099999999999	1748
200.66999999999999	1764
203.69800000000001	1746
206.72399999999999	1774
209.74799999999999	1742
212.77199999999999	1812
215.792	1854
218.81299999999999	2086
221.83199999999999	2252
224.84899999999999	2402
227.864	2368
230.87799999999999	2202
233.89099999999999	1876
236.90199999999999	1820
239.911	1782
242.91999999999999	1782
245.92599999999999	1734
248.93100000000001	1744
251.935	1738
254.93700000000001	1716
257.93799999999999	1644
260.93700000000001	1676
263.935	1684
266.93099999999998	1656
269.92599999999999	1678
272.91899999999998	1748
275.911	1756
278.90100000000001	1804
281.88999999999999	1978
284.87799999999999	2286
287.863	2660
290.84800000000001	2932
293.82999999999998	3112
296.81200000000001	2924
299.791	2644
302.76999999999998	2312
305.74700000000001	2084
308.72300000000001	1898
311.697	1792
314.66899999999998	1706
317.63999999999999	1656
320.60899999999998	1638
323.57799999999997	1614
326.54500000000002	1576
329.50999999999999	1570
332.47300000000001	1556
335.43599999999998	1524
338.39699999999999	1522
341.35599999999999	1550
344.31400000000002	1532
347.26999999999998	1532
350.22500000000002	1492
353.178	1548
356.13099999999997	1466
359.08100000000002	1492
362.03100000000001	1534
364.97800000000001	1498
367.92399999999998	1528
370.87	1512
373.81299999999999	1528
376.75400000000002	1438
379.69499999999999	1510
382.63400000000001	1500
385.57100000000003	1494
388.50700000000001	1530
391.44200000000001	1558
394.375	1532
397.30700000000002	1618
400.23700000000002	1708
403.16500000000002	1904
406.09300000000002	2100
409.01900000000001	2342
411.94400000000002	2394
414.86599999999999	2388
417.78899999999999	2132
420.709	1858
423.62700000000001	1690
426.54399999999998	1618
429.45999999999998	1550
432.375	1496
435.28800000000001	1442
438.19900000000001	1430
441.10899999999998	1420
444.01799999999997	1408
446.92599999999999	1404
449.83100000000002	1386
452.73599999999999	1354
455.63900000000001	1348
458.54000000000002	1380
461.44	1366
464.339	1352
467.23599999999999	1368
470.13200000000001	1356
473.02699999999999	1378
475.92000000000002	1344
478.81099999999998	1356
481.702	1380
484.58999999999997	1440
487.47800000000001	1436
490.36399999999998	1496
493.24799999999999	1518
496.13099999999997	1532
499.01299999999998	1512
501.89299999999997	1454
504.77199999999999	1392
507.649	1360
510.52600000000001	1368
513.39999999999998	1326
516.27300000000002	1302
519.14499999999998	1256
522.01599999999996	1294
524.88499999999999	1280
527.75199999999995	1262
530.61800000000005	1304
533.48299999999995	1242
536.34699999999998	1262
539.20799999999997	1262
542.06899999999996	1260
544.928	1256
547.78599999999994	1234
550.64200000000005	1214
553.49699999999996	1260
556.351	1216
559.20299999999997	1222
562.053	1262
564.90300000000002	1194
567.75099999999998	1214
570.59699999999998	1232
573.44200000000001	1222
576.28599999999994	1200
579.12900000000002	1208
581.97000000000003	1226
584.80999999999995	1216
587.64800000000002	1214
590.48500000000001	1228
593.32000000000005	1268
596.154	1260
598.98699999999997	1312
601.81899999999996	1348
604.649	1390
607.47699999999998	1468
610.30399999999997	1554
613.13	1546
615.95399999999995	1578
618.77700000000004	1500
621.59900000000005	1422
624.41999999999996	1342
627.23800000000006	1270
630.05600000000004	1220
632.87199999999996	1220
635.68700000000001	1182
638.5	1132
641.31299999999999	1156
644.12300000000005	1106
646.93200000000002	1148
649.74000000000001	1094
652.54700000000003	1124
655.35199999999998	1092
658.15599999999995	1156
660.95799999999997	1128
663.75999999999999	1184
666.55899999999997	1202
669.35799999999995	1174
672.15499999999997	1158
674.95000000000005	1136
677.74400000000003	1066
680.53800000000001	1070
683.32899999999995	1070
686.11900000000003	1048
688.90800000000002	1054
691.69500000000005	1036
694.48199999999997	1010
697.26700000000005	1030
700.04999999999995	1012
702.83299999999997	1010
705.61300000000006	1010
708.39300000000003	1010
711.16999999999996	1016
713.947	1000
716.72199999999998	982
719.49599999999998	988
722.26900000000001	986
725.04100000000005	1006
727.80999999999995	962
730.57899999999995	972
733.346	966
736.11300000000006	972
738.87699999999995	956
741.63999999999999	962
744.40200000000004	958
747.16200000000003	958
749.92200000000003	958
752.67999999999995	938
755.43600000000004	940
758.19100000000003	924
760.94600000000003	952
763.69799999999998	936
766.44899999999996	926
769.19899999999996	926
771.947	918
774.69500000000005	948
777.44100000000003	932
780.18499999999995	928
782.92899999999997	910
785.66999999999996	932
788.41099999999994	904
791.14999999999998	932
793.88800000000003	906
