##NAMES=Maghemite
##RRUFFID=R140712
##IDEAL CHEMISTRY=(Fe^3+^_0.67_[box]_0.33_)Fe^3+^_2_O_4_
##LOCALITY=Katzenbuckel, Eberbach, Odenwald, Baden-Württemberg, Germany
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Black aggregate of small to fine grains. Fd3m symmetry
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction
##URL=https://www.rruff.net/odr/rruff_sample/R140712
##DIFFRACTION SAMPLE DESCRIPTION=Single crystal, powder profile is calculated, Fd3m
##CELL PARAMETERS=a: 8.3985 b: 8.3985 c: 8.3985 alpha: 90 beta: 90 gamma: 90 volume: 592.39 crystal system: cubic
##FILETYPE=Raman Processed
##RAMAN WAVELENGTH=780

116.9915, 0.0000000E+00
117.4736, 0.7117000
117.9557, 1.369934
118.4378, 1.635376
118.9199, 0.9109800
119.4020, 9.1674998E-02
119.8842, 0.1453250
120.3663, 0.1562190
120.8484, 0.9196780
121.3305, 2.778412
121.8126, 4.449738
122.2947, 6.102570
122.7769, 7.443146
123.2590, 8.028839
123.7411, 7.557770
124.2232, 6.287445
124.7053, 5.364563
125.1874, 4.818298
125.6696, 4.554077
126.1517, 4.495605
126.6338, 4.645508
127.1159, 4.957428
127.5980, 5.478149
128.0801, 6.215332
128.5623, 7.054230
129.0444, 8.295776
129.5265, 9.470093
130.0086, 10.03333
130.4907, 9.878632
130.9728, 9.464081
131.4550, 8.870911
131.9371, 8.149841
132.4192, 7.517639
132.9013, 7.028076
133.3834, 6.742554
133.8655, 6.741425
134.3477, 7.166504
134.8298, 7.657440
135.3119, 8.086914
135.7940, 8.474335
136.2761, 8.842865
136.7582, 9.312775
137.2404, 9.979828
137.7225, 10.49072
138.2046, 10.83862
138.6867, 10.89603
139.1688, 10.60504
139.6509, 10.17395
140.1331, 9.494232
140.6152, 8.483643
141.0973, 7.111542
141.5794, 6.121582
142.0615, 5.578888
142.5436, 5.425568
143.0258, 5.655151
143.5079, 5.925903
143.9900, 6.188110
144.4721, 6.366974
144.9542, 6.247589
145.4363, 6.404358
145.9185, 6.930603
146.4006, 7.508911
146.8827, 8.203033
147.3648, 8.561707
147.8469, 8.614105
148.3290, 8.373260
148.8112, 7.520905
149.2933, 6.743408
149.7754, 6.400970
150.2575, 6.428375
150.7396, 6.544769
151.2217, 6.744995
151.7039, 6.942596
152.1860, 7.033875
152.6681, 7.018219
153.1502, 6.984619
153.6323, 6.942413
154.1144, 6.866882
154.5966, 6.878296
155.0787, 7.377655
155.5608, 7.741943
156.0429, 7.436920
156.5250, 6.365387
157.0071, 5.014404
157.4893, 4.046204
157.9714, 3.555420
158.4535, 3.262024
158.9356, 3.065125
159.4177, 3.017487
159.8998, 3.326309
160.3820, 4.019058
160.8641, 4.782028
161.3462, 4.753235
161.8283, 2.869400
162.3104, 1.684341
162.7925, 1.894043
163.2747, 2.706833
163.7568, 3.270569
164.2389, 3.158844
164.7210, 2.534775
165.2031, 2.070099
165.6852, 1.989807
166.1674, 1.815491
166.6495, 1.391922
167.1316, 0.8279420
167.6137, 0.2996220
168.0958, 0.1139530
168.5779, 0.3927760
169.0601, 0.4313050
169.5422, 8.3984002E-02
170.0243, 0.4725340
170.5064, 0.4349060
170.9885, 2.4994001E-02
171.4706, 0.5631260
171.9528, 1.330170
172.4349, 2.142960
172.9170, 2.549194
173.3991, 2.328735
173.8812, 1.891129
174.3633, 1.393021
174.8455, 0.4494320
175.3276, 0.1487120
175.8097, 0.1617580
176.2918, 0.9426730
176.7739, 1.402115
177.2560, 1.192062
177.7382, 0.7221220
178.2203, 0.5829770
178.7024, 0.9095760
179.1845, 1.133514
179.6666, 0.9001160
180.1487, 0.4077000
180.6309, 0.1313930
181.1130, 0.6803440
181.5951, 1.187119
182.0772, 1.486740
182.5593, 1.452209
183.0414, 1.409683
183.5236, 1.493500
184.0057, 1.638779
184.4878, 1.739838
184.9699, 1.707458
185.4520, 1.586594
185.9341, 1.672333
186.4163, 2.155807
186.8984, 2.652756
187.3805, 3.173401
187.8626, 3.635269
188.3447, 3.889893
188.8268, 3.794312
189.3090, 3.369049
189.7911, 3.246170
190.2732, 3.720505
190.7553, 4.194748
191.2374, 4.519547
191.7195, 4.718704
192.2017, 4.858871
192.6838, 4.968399
193.1659, 5.032928
193.6480, 5.405701
194.1301, 6.565933
194.6122, 7.511002
195.0944, 7.591125
195.5765, 6.996216
196.0586, 6.479507
196.5407, 6.681808
197.0228, 7.643295
197.5049, 8.395996
197.9871, 8.858307
198.4692, 9.200562
198.9513, 9.426407
199.4334, 9.570923
199.9155, 9.864838
200.3976, 10.60782
200.8798, 11.73799
201.3619, 12.44496
201.8440, 12.08118
202.3261, 11.66913
202.8082, 12.34294
203.2903, 14.20757
203.7725, 16.00450
204.2546, 16.44916
204.7367, 16.02165
205.2188, 16.10425
205.7009, 17.40567
206.1830, 19.16208
206.6652, 20.31076
207.1473, 20.71085
207.6294, 21.01085
208.1115, 21.54340
208.5936, 22.28055
209.0757, 23.22685
209.5579, 24.31779
210.0400, 25.64070
210.5221, 27.46849
211.0042, 30.02969
211.4863, 32.58015
211.9685, 34.81238
212.4506, 36.79550
212.9327, 38.57747
213.4148, 40.10953
213.8969, 41.49541
214.3790, 43.07617
214.8612, 45.05617
215.3433, 46.89084
215.8254, 48.61795
216.3075, 50.06125
216.7896, 50.97647
217.2717, 51.20149
217.7539, 50.81529
218.2360, 50.14386
218.7181, 49.13284
219.2002, 47.84908
219.6823, 46.33739
220.1644, 44.56879
220.6466, 42.47398
221.1287, 39.97649
221.6108, 37.17378
222.0929, 34.66672
222.5750, 32.55331
223.0571, 30.66202
223.5393, 29.13518
224.0214, 27.79712
224.5035, 26.38728
224.9856, 24.74370
225.4677, 22.92514
225.9498, 21.35558
226.4320, 20.08961
226.9141, 19.05598
227.3962, 18.37962
227.8783, 17.93097
228.3604, 17.50665
228.8425, 16.97603
229.3247, 16.36664
229.8068, 15.93578
230.2889, 15.76816
230.7710, 15.67970
231.2531, 15.79428
231.7352, 16.00208
232.2174, 16.08458
232.6995, 15.93393
233.1816, 15.59807
233.6637, 15.33542
234.1458, 15.24046
234.6279, 15.04489
235.1101, 14.65453
235.5922, 14.17310
236.0743, 13.75293
236.5564, 13.45631
237.0385, 13.24512
237.5206, 13.01340
238.0028, 12.74039
238.4849, 12.52719
238.9670, 12.40181
239.4491, 12.33966
239.9312, 12.31703
240.4133, 12.36882
240.8955, 12.37877
241.3776, 12.01640
241.8597, 11.04074
242.3418, 10.34276
242.8239, 10.59241
243.3060, 11.44151
243.7882, 11.87422
244.2703, 11.38359
244.7524, 10.53880
245.2345, 10.34918
245.7166, 10.95154
246.1987, 11.42603
246.6809, 11.17973
247.1630, 10.41393
247.6451, 9.803360
248.1272, 9.556381
248.6093, 9.526047
249.0914, 9.548141
249.5736, 9.623825
250.0557, 9.674667
250.5378, 9.602478
251.0199, 9.454681
251.5020, 9.440582
251.9841, 9.663696
252.4663, 9.951553
252.9484, 10.09973
253.4305, 10.12837
253.9126, 10.24770
254.3947, 10.61884
254.8768, 11.20302
255.3590, 11.81810
255.8411, 12.53792
256.3232, 13.14409
256.8053, 13.35329
257.2874, 13.29790
257.7695, 13.45743
258.2516, 14.35114
258.7338, 15.79703
259.2159, 16.75215
259.6980, 16.97322
260.1801, 16.97699
260.6622, 16.84200
261.1443, 16.73096
261.6265, 17.01393
262.1086, 18.14029
262.5907, 19.85547
263.0728, 20.89371
263.5549, 20.72701
264.0370, 20.68214
264.5192, 21.34692
265.0013, 22.46638
265.4834, 23.62074
265.9655, 24.56860
266.4476, 25.40027
266.9297, 26.45885
267.4119, 27.83293
267.8940, 29.30887
268.3761, 30.93675
268.8582, 32.57495
269.3403, 34.00671
269.8224, 35.08592
270.3046, 35.99983
270.7867, 37.29057
271.2688, 39.22766
271.7509, 41.07607
272.2330, 42.48764
272.7151, 43.85405
273.1973, 45.57812
273.6794, 47.83867
274.1615, 50.41426
274.6436, 52.86411
275.1257, 55.23955
275.6078, 57.37196
276.0900, 59.09996
276.5721, 60.68416
277.0542, 62.33502
277.5363, 64.12392
278.0184, 65.95868
278.5005, 67.77219
278.9827, 69.92151
279.4648, 71.18637
279.9469, 71.03535
280.4290, 70.49411
280.9111, 70.16771
281.3932, 70.20958
281.8754, 70.47308
282.3575, 70.84697
282.8396, 71.60159
283.3217, 71.74448
283.8038, 71.04697
284.2859, 69.98074
284.7681, 68.67618
285.2502, 67.23090
285.7323, 65.77805
286.2144, 64.49344
286.6965, 63.42090
287.1786, 62.13051
287.6608, 60.50362
288.1429, 58.75127
288.6250, 56.90144
289.1071, 55.01595
289.5892, 53.13695
290.0714, 51.25909
290.5535, 49.38559
291.0356, 47.83432
291.5177, 47.08257
291.9998, 46.17560
292.4819, 44.71045
292.9641, 42.88237
293.4462, 41.10020
293.9283, 39.64597
294.4104, 38.47403
294.8925, 37.19418
295.3746, 35.53169
295.8568, 34.06332
296.3389, 32.97214
296.8210, 32.08922
297.3031, 31.21353
297.7852, 30.24590
298.2673, 29.17604
298.7495, 27.97897
299.2316, 25.99870
299.7137, 24.74608
300.1958, 25.10501
300.6779, 25.81578
301.1600, 25.55481
301.6422, 23.90257
302.1243, 21.46259
302.6064, 19.30536
303.0885, 17.37741
303.5706, 15.92200
304.0527, 15.12608
304.5349, 14.62997
305.0170, 14.25813
305.4991, 13.94150
305.9812, 13.61974
306.4633, 13.23650
306.9454, 12.84534
307.4276, 12.17288
307.9097, 10.93771
308.3918, 9.720749
308.8739, 8.865646
309.3560, 8.347870
309.8381, 7.923706
310.3203, 7.360001
310.8024, 6.640259
311.2845, 6.128738
311.7666, 5.983749
312.2487, 5.851913
312.7308, 5.625671
313.2130, 5.313934
313.6951, 4.950623
314.1772, 4.549988
314.6593, 4.125031
315.1414, 3.786285
315.6235, 3.597214
316.1057, 3.415726
316.5878, 3.206543
317.0699, 2.993942
317.5520, 2.791214
318.0341, 2.603806
318.5162, 2.470612
318.9984, 2.503860
319.4805, 3.103165
319.9626, 3.329742
320.4447, 2.870209
320.9268, 2.206329
321.4089, 1.795197
321.8911, 1.751129
322.3732, 1.847778
322.8553, 1.745377
323.3374, 1.328751
323.8195, 0.9967350
324.3016, 0.8069310
324.7838, 0.6478420
325.2659, 0.3770750
325.7480, 3.3172999E-02
326.2301, 0.1513670
326.7122, 9.5412999E-02
327.1943, 0.8671570
327.6765, 1.270828
328.1586, 1.177719
328.6407, 0.8984990
329.1228, 0.3188630
329.6049, 0.3626860
330.0870, 0.7198640
330.5692, 0.4210970
331.0513, 0.4086610
331.5334, 0.8031310
332.0155, 0.2661900
332.4976, 0.1690830
332.9797, 0.3698880
333.4619, 0.3810880
333.9440, 0.2068630
334.4261, 0.1513980
334.9082, 0.5444490
335.3904, 0.5909580
335.8725, 0.1158910
336.3546, 0.5295720
336.8367, 0.2990110
337.3188, 1.8967001E-02
337.8009, 0.1146700
338.2831, 0.7704320
338.7652, 1.524994
339.2473, 1.773254
339.7294, 1.275696
340.2115, 1.024841
340.6936, 1.374481
341.1758, 1.627151
341.6579, 1.253510
342.1400, 0.4187320
342.6221, 0.2437290
343.1042, 0.1369170
343.5863, 0.7379000
344.0685, 1.265518
344.5506, 1.243134
345.0327, 1.040085
345.5148, 0.5566710
345.9969, 2.8152000E-02
346.4790, 0.4557950
346.9612, 0.5832370
347.4433, 0.4779660
347.9254, 0.3437810
348.4075, 0.1479950
348.8896, 1.9028001E-02
349.3717, 0.2450870
349.8539, 0.3857420
350.3360, 0.2408910
350.8181, 0.2304230
351.3002, 0.7696690
351.7823, 0.9388120
352.2644, 0.5506440
352.7466, 0.4099430
353.2287, 0.8037870
353.7108, 1.251831
354.1929, 1.501923
354.6750, 1.560440
355.1571, 1.593857
355.6393, 1.779633
356.1214, 2.116333
356.6035, 2.278519
357.0856, 2.170151
357.5677, 1.986771
358.0498, 1.609299
358.5320, 1.236313
359.0141, 1.257599
359.4962, 2.000336
359.9783, 3.095993
360.4604, 3.445862
360.9425, 2.571289
361.4247, 2.075287
361.9068, 2.827530
362.3889, 3.929382
362.8710, 4.569458
363.3531, 4.521744
363.8352, 4.177872
364.3174, 3.873596
364.7995, 3.572250
365.2816, 3.708435
365.7637, 4.804749
366.2458, 5.975555
366.7279, 6.658081
367.2101, 6.868820
367.6922, 6.918381
368.1743, 6.952560
368.6564, 6.988235
369.1385, 7.107956
369.6206, 7.341934
370.1028, 7.611069
370.5849, 7.873795
371.0670, 8.134720
371.5491, 8.392654
372.0312, 8.610703
372.5133, 8.864822
372.9955, 9.327316
373.4776, 10.03290
373.9597, 10.61594
374.4418, 10.79698
374.9239, 10.86610
375.4060, 11.21498
375.8882, 11.92342
376.3703, 12.61977
376.8524, 13.08383
377.3345, 13.36102
377.8166, 13.54359
378.2987, 13.56297
378.7809, 13.65938
379.2630, 14.18167
379.7451, 15.07378
380.2272, 15.89548
380.7093, 16.52107
381.1914, 16.98868
381.6736, 17.21574
382.1557, 17.17110
382.6378, 17.36607
383.1199, 18.31917
383.6020, 19.84821
384.0841, 21.04048
384.5663, 21.86504
385.0484, 22.37914
385.5305, 22.34924
386.0126, 21.98398
386.4947, 21.96925
386.9768, 22.62299
387.4590, 23.68950
387.9411, 24.72826
388.4232, 25.88167
388.9053, 26.72018
389.3874, 26.91109
389.8695, 26.84648
390.3517, 27.01132
390.8338, 27.50569
391.3159, 28.00069
391.7980, 28.12843
392.2801, 27.81992
392.7622, 27.80241
393.2444, 28.36040
393.7265, 28.90355
394.2086, 29.17067
394.6907, 29.20154
395.1728, 29.05603
395.6549, 28.73273
396.1371, 28.26146
396.6192, 27.87352
397.1013, 27.82300
397.5834, 27.64915
398.0655, 27.22577
398.5476, 26.65044
399.0298, 25.93036
399.5119, 25.15536
399.9940, 24.64551
400.4761, 24.84274
400.9582, 26.02106
401.4403, 26.79025
401.9225, 27.66296
402.4046, 27.76268
402.8867, 26.17226
403.3688, 23.44841
403.8509, 20.84225
404.3330, 19.12469
